%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
98.0, 14630.714312876979, 54857.75230619339, -52496.536373679206, -48932.43896155822, -49933.30537477796, -32252.494365274237, -43116.045667653765, -57634.241298942725, -44082.08806301213, -42726.3877065644, -94557.15501989782, -25707.14362944885, -50615.905298698584, -45450.595969032765, -60738.02688575112, -90293.87268947039, -0.048, 1.0150000000000001, 0.038, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321868453E9, 0.0, 2024-09-27 16:05:32.186
100.0, 14648.930984608054, 54891.414033343084, -52423.04383791016, -48930.337897579426, -49923.42590372871, -32247.174650093875, -43102.14288260256, -57631.26851693017, -44086.33489445864, -42730.54513103308, -94503.28731576054, -25691.877387985875, -50610.317362584756, -45453.83697197878, -60730.06966472503, -90289.20117487921, -0.049, 1.0175, 0.038, 192.0, 127.0, 56.0, 15.5, 112.0, 0.5, 24.0, 0.0, 0.0, 0.0, 1.7274711321868577E9, 0.0, 2024-09-27 16:05:32.186
102.0, 14626.08750177473, 54846.30821303227, -52517.32349602265, -48944.01716518607, -49956.93116866722, -32242.03374886915, -43133.8823597291, -57645.26070895919, -44082.37863569005, -42727.192369364784, -94556.35035709744, -25689.686917029252, -50615.39120857611, -45432.066372879315, -60783.088002573015, -90286.5636690335, -0.049, 1.0175, 0.038, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321868742E9, 0.0, 2024-09-27 16:05:32.186
104.0, 14628.009751797887, 54882.38392858314, -52429.03410542418, -48947.45933383219, -49929.14795030927, -32259.266943844195, -43113.184644363486, -57635.24712744321, -44090.80524334971, -42743.0397561836, -94511.557461209, -25685.12716116037, -50601.019036891346, -45447.84670446476, -60806.78085169564, -90282.67446549828, -0.049, 1.0175, 0.038, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321868863E9, 0.0, 2024-09-27 16:05:32.186
106.0, 14621.147766250107, 54828.56092793476, -52520.944478624406, -48950.20859840019, -49953.801924443476, -32253.723711219278, -43117.8785106991, -57627.535775606135, -44101.71289464389, -42756.3390441345, -94562.65354903383, -25689.396344351335, -50624.510720313876, -45463.51527732793, -60838.02859044416, -90304.86974774238, -0.049, 1.0175, 0.038, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321869E9, 0.0, 2024-09-27 16:05:32.186
108.0, 14621.594801139212, 54870.47044878846, -52430.129340902495, -48955.304796136, -49939.29564229198, -32252.71788271879, -43125.411048580536, -57630.3520954075, -44100.10356904311, -42752.159267921365, -94515.40196125531, -25668.56451851899, -50592.7935949318, -45459.08963192578, -60895.450221949846, -90276.93006717326, -0.049, 1.0175, 0.038, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321869123E9, 0.0, 2024-09-27 16:05:32.186
110.0, 14620.968952294465, 54834.75236114888, -52510.08153081912, -48966.21244743019, -49966.34125308291, -32234.18828656534, -43135.15640916305, -57630.73207506324, -44098.06956029768, -42747.487753330206, -94532.88102541937, -25651.979524133152, -50586.691568695496, -45446.259730608435, -60884.743736355755, -90284.39554982133, -0.0475, 1.01275, 0.041999999999999996, 192.0, 127.0, 72.0, 15.5, 64.0, 0.5, 56.0, 0.0, 0.0, 0.0, 1.7274711321869256E9, 0.0, 2024-09-27 16:05:32.186
112.0, 14624.36641745167, 54875.94662618001, -52429.30232635765, -48967.84412477543, -49946.090572606394, -32255.981237409265, -43119.35372583315, -57623.98184823774, -44104.886842356544, -42765.793832039104, -94518.57590896796, -25639.820175149463, -50611.05497015178, -45460.76601275993, -60952.7377429888, -90289.64820976833, -0.0475, 1.01275, 0.041999999999999996, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321869378E9, 0.0, 2024-09-27 16:05:32.186
114.0, 14603.780460808333, 54834.05945707077, -52507.91341160696, -48967.21827593068, -49972.75620374158, -32247.398167538428, -43135.35757486315, -57634.107188475995, -44113.358153505105, -42762.48577385971, -94528.25421431712, -25628.84546862191, -50625.293031369816, -45457.54736155836, -60907.00607383324, -90284.75317773261, -0.0475, 1.01275, 0.041999999999999996, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.72747113218695E9, 0.0, 2024-09-27 16:05:32.186
116.0, 14631.809548355288, 54886.608408285196, -52421.81449196512, -48953.941339724224, -49934.55707246746, -32248.493403016735, -43110.86006294013, -57625.12178720496, -44106.20559527941, -42755.17675342283, -94522.42040901427, -25612.618102147353, -50581.10363258167, -45457.32384411381, -60989.752231806786, -90278.74055847414, -0.0475, 1.01275, 0.041999999999999996, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727471132186962E9, 0.0, 2024-09-27 16:05:32.186
